2,3,Party,Votes,Round,,,,,,,
PADMAJA VENUGOPAL,Thrissur,Indian National Congress,3657,R-6,,,,,,,
PADMAJA VENUGOPAL,Thrissur,Indian National Congress,3178,R-7,,,,,,,
PADMAJA VENUGOPAL,Thrissur,Indian National Congress,3801,R-8,,,,,,,
PADMAJA VENUGOPAL,Thrissur,Indian National Congress,4474,R-9,,,,,,,
PADMAJA VENUGOPAL,Thrissur,Indian National Congress,3160,R-10,,,,,,,
PADMAJA VENUGOPAL,Thrissur,Indian National Congress,3880,R-11,,,,,,,
PADMAJA VENUGOPAL,Thrissur,Indian National Congress,4216,R-12,,,,,,,
PADMAJA VENUGOPAL,Thrissur,Indian National Congress,2183,R-13,,,,,,,
P BALACHANDRAN,Thrissur,Communist Party of India,4100,R-1,,,,,,,
P BALACHANDRAN,Thrissur,Communist Party of India,3722,R-2,,,,,,,
P BALACHANDRAN,Thrissur,Communist Party of India,2547,R-3,,,,,,,
P BALACHANDRAN,Thrissur,Communist Party of India,2610,R-4,,,,,,,
P BALACHANDRAN,Thrissur,Communist Party of India,2832,R-5,,,,,,,
P BALACHANDRAN,Thrissur,Communist Party of India,3627,R-6,,,,,,,
P BALACHANDRAN,Thrissur,Communist Party of India,3111,R-7,,,,,,,
P BALACHANDRAN,Thrissur,Communist Party of India,3134,R-8,,,,,,,
P BALACHANDRAN,Thrissur,Communist Party of India,2614,R-9,,,,,,,
P BALACHANDRAN,Thrissur,Communist Party of India,3661,R-10,,,,,,,
P BALACHANDRAN,Thrissur,Communist Party of India,3905,R-11,,,,,,,
P BALACHANDRAN,Thrissur,Communist Party of India,3751,R-12,,,,,,,
P BALACHANDRAN,Thrissur,Communist Party of India,3434,R-13,,,,,,,
SURESH GOPI,Thrissur,Bharatiya Janata Party,3196,R-1,,,,,,,
SURESH GOPI,Thrissur,Bharatiya Janata Party,3708,R-2,,,,,,,
SURESH GOPI,Thrissur,Bharatiya Janata Party,4995,R-3,,,,,,,
SURESH GOPI,Thrissur,Bharatiya Janata Party,3931,R-4,,,,,,,
SURESH GOPI,Thrissur,Bharatiya Janata Party,3733,R-5,,,,,,,
SURESH GOPI,Thrissur,Bharatiya Janata Party,3310,R-6,,,,,,,
SURESH GOPI,Thrissur,Bharatiya Janata Party,2544,R-7,,,,,,,
SURESH GOPI,Thrissur,Bharatiya Janata Party,2868,R-8,,,,,,,
SURESH GOPI,Thrissur,Bharatiya Janata Party,2529,R-9,,,,,,,
SURESH GOPI,Thrissur,Bharatiya Janata Party,2827,R-10,,,,,,,
SURESH GOPI,Thrissur,Bharatiya Janata Party,1397,R-11,,,,,,,
SURESH GOPI,Thrissur,Bharatiya Janata Party,1981,R-12,,,,,,,
SURESH GOPI,Thrissur,Bharatiya Janata Party,2597,R-13,,,,,,,
THRISSUR MUKUNDAN,Thrissur,Indian Gandhiyan Party,14,R-1,,,,,,,
THRISSUR MUKUNDAN,Thrissur,Indian Gandhiyan Party,23,R-2,,,,,,,
THRISSUR MUKUNDAN,Thrissur,Indian Gandhiyan Party,20,R-3,,,,,,,
THRISSUR MUKUNDAN,Thrissur,Indian Gandhiyan Party,23,R-4,,,,,,,
THRISSUR MUKUNDAN,Thrissur,Indian Gandhiyan Party,18,R-5,,,,,,,
THRISSUR MUKUNDAN,Thrissur,Indian Gandhiyan Party,16,R-6,,,,,,,
THRISSUR MUKUNDAN,Thrissur,Indian Gandhiyan Party,14,R-7,,,,,,,
THRISSUR MUKUNDAN,Thrissur,Indian Gandhiyan Party,19,R-8,,,,,,,
THRISSUR MUKUNDAN,Thrissur,Indian Gandhiyan Party,6,R-9,,,,,,,
THRISSUR MUKUNDAN,Thrissur,Indian Gandhiyan Party,21,R-10,,,,,,,
THRISSUR MUKUNDAN,Thrissur,Indian Gandhiyan Party,12,R-11,,,,,,,
THRISSUR MUKUNDAN,Thrissur,Indian Gandhiyan Party,18,R-12,,,,,,,
THRISSUR MUKUNDAN,Thrissur,Indian Gandhiyan Party,13,R-13,,,,,,,
AJITH MENON PONNEMKATTIL,Thrissur,Independent,24,R-1,,,,,,,
AJITH MENON PONNEMKATTIL,Thrissur,Independent,19,R-2,,,,,,,
AJITH MENON PONNEMKATTIL,Thrissur,Independent,16,R-3,,,,,,,
AJITH MENON PONNEMKATTIL,Thrissur,Independent,17,R-4,,,,,,,
AJITH MENON PONNEMKATTIL,Thrissur,Independent,15,R-5,,,,,,,
AJITH MENON PONNEMKATTIL,Thrissur,Independent,31,R-6,,,,,,,
AJITH MENON PONNEMKATTIL,Thrissur,Independent,24,R-7,,,,,,,
AJITH MENON PONNEMKATTIL,Thrissur,Independent,22,R-8,,,,,,,
AJITH MENON PONNEMKATTIL,Thrissur,Independent,15,R-9,,,,,,,
AJITH MENON PONNEMKATTIL,Thrissur,Independent,16,R-10,,,,,,,
AJITH MENON PONNEMKATTIL,Thrissur,Independent,17,R-11,,,,,,,
AJITH MENON PONNEMKATTIL,Thrissur,Independent,15,R-12,,,,,,,
AJITH MENON PONNEMKATTIL,Thrissur,Independent,12,R-13,,,,,,,
NOTA,Thrissur,None of the Above,48,R-1,,,,,,,
NOTA,Thrissur,None of the Above,59,R-2,,,,,,,
NOTA,Thrissur,None of the Above,54,R-3,,,,,,,
NOTA,Thrissur,None of the Above,52,R-4,,,,,,,
NOTA,Thrissur,None of the Above,47,R-5,,,,,,,
NOTA,Thrissur,None of the Above,50,R-6,,,,,,,
NOTA,Thrissur,None of the Above,46,R-7,,,,,,,
NOTA,Thrissur,None of the Above,60,R-8,,,,,,,
NOTA,Thrissur,None of the Above,79,R-9,,,,,,,
NOTA,Thrissur,None of the Above,48,R-10,,,,,,,
NOTA,Thrissur,None of the Above,55,R-11,,,,,,,
NOTA,Thrissur,None of the Above,69,R-12,,,,,,,
NOTA,Thrissur,None of the Above,45,R-13,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,5096,R-1,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,4687,R-2,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,5017,R-3,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,4517,R-4,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,5017,R-5,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,4806,R-6,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,5702,R-7,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,5336,R-8,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,5680,R-9,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,4808,R-10,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,4777,R-11,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,5057,R-12,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,3798,R-13,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,4075,R-14,,,,,,,
C C MUKUNDHAN,Nattika,Communist Party of India,2924,R-15,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,2624,R-1,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,1490,R-2,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,1764,R-3,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,2382,R-4,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,2370,R-5,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,2620,R-6,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,2111,R-7,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,2407,R-8,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,2101,R-9,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,2366,R-10,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,2133,R-11,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,2288,R-12,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,2379,R-13,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,2267,R-14,,,,,,,
LOJANAN AMBATT,Nattika,Bharatiya Janata Party,1888,R-15,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,45,R-1,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,29,R-2,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,15,R-3,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,15,R-4,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,27,R-5,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,31,R-6,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,27,R-7,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,14,R-8,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,19,R-9,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,16,R-10,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,19,R-11,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,10,R-12,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,50,R-13,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,28,R-14,,,,,,,
VIMAL MALLIKA VIJAYAN,Nattika,Bahujan Samaj Party,12,R-15,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,2703,R-1,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,2403,R-2,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,3149,R-3,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,3485,R-4,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,3205,R-5,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,3103,R-6,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,2591,R-7,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,2385,R-8,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,2596,R-9,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,3118,R-10,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,2975,R-11,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,2947,R-12,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,3260,R-13,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,3852,R-14,,,,,,,
ADV. SUNIL LALOOR,Nattika,Indian National Congress,1607,R-15,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,115,R-1,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,41,R-2,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,36,R-3,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,25,R-4,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,40,R-5,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,24,R-6,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,33,R-7,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,64,R-8,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,26,R-9,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,30,R-10,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,24,R-11,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,31,R-12,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,36,R-13,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,39,R-14,,,,,,,
C S JITHESHKUMAR,Nattika,Independent,40,R-15,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,10,R-1,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,30,R-2,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,21,R-3,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,24,R-4,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,21,R-5,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,90,R-6,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,142,R-7,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,75,R-8,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,48,R-9,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,35,R-10,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,30,R-11,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,11,R-12,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,14,R-13,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,23,R-14,,,,,,,
SIVARATHNAN ALATHI,Nattika,Independent,11,R-15,,,,,,,
NOTA,Nattika,None of the Above,39,R-1,,,,,,,
NOTA,Nattika,None of the Above,38,R-2,,,,,,,
NOTA,Nattika,None of the Above,66,R-3,,,,,,,
NOTA,Nattika,None of the Above,76,R-4,,,,,,,
NOTA,Nattika,None of the Above,64,R-5,,,,,,,
NOTA,Nattika,None of the Above,71,R-6,,,,,,,
NOTA,Nattika,None of the Above,60,R-7,,,,,,,
NOTA,Nattika,None of the Above,41,R-8,,,,,,,
NOTA,Nattika,None of the Above,57,R-9,,,,,,,
NOTA,Nattika,None of the Above,47,R-10,,,,,,,
NOTA,Nattika,None of the Above,59,R-11,,,,,,,
NOTA,Nattika,None of the Above,48,R-12,,,,,,,
NOTA,Nattika,None of the Above,45,R-13,,,,,,,
NOTA,Nattika,None of the Above,70,R-14,,,,,,,
NOTA,Nattika,None of the Above,34,R-15,,,,,,,
E T TAISON MASTER,Kaipamangalam,Communist Party of India,5838,R-1,,,,,,,
E T TAISON MASTER,Kaipamangalam,Communist Party of India,5493,R-2,,,,,,,
E T TAISON MASTER,Kaipamangalam,Communist Party of India,5337,R-3,,,,,,,
E T TAISON MASTER,Kaipamangalam,Communist Party of India,5580,R-4,,,,,,,
E T TAISON MASTER,Kaipamangalam,Communist Party of India,5870,R-5,,,,,,,
E T TAISON MASTER,Kaipamangalam,Communist Party of India,6163,R-6,,,,,,,
E T TAISON MASTER,Kaipamangalam,Communist Party of India,5618,R-7,,,,,,,
E T TAISON MASTER,Kaipamangalam,Communist Party of India,6939,R-8,,,,,,,
E T TAISON MASTER,Kaipamangalam,Communist Party of India,4839,R-9,,,,,,,
E T TAISON MASTER,Kaipamangalam,Communist Party of India,4823,R-10,,,,,,,
E T TAISON MASTER,Kaipamangalam,Communist Party of India,6416,R-11,,,,,,,
E T TAISON MASTER,Kaipamangalam,Communist Party of India,6325,R-12,,,,,,,
E T TAISON MASTER,Kaipamangalam,Communist Party of India,2425,R-13,,,,,,,
THANKAMANY THARAYIL,Kaipamangalam,Bahujan Samaj Party,25,R-1,,,,,,,
THANKAMANY THARAYIL,Kaipamangalam,Bahujan Samaj Party,37,R-2,,,,,,,
THANKAMANY THARAYIL,Kaipamangalam,Bahujan Samaj Party,24,R-3,,,,,,,
THANKAMANY THARAYIL,Kaipamangalam,Bahujan Samaj Party,26,R-4,,,,,,,
THANKAMANY THARAYIL,Kaipamangalam,Bahujan Samaj Party,24,R-5,,,,,,,
THANKAMANY THARAYIL,Kaipamangalam,Bahujan Samaj Party,26,R-6,,,,,,,
THANKAMANY THARAYIL,Kaipamangalam,Bahujan Samaj Party,43,R-7,,,,,,,
THANKAMANY THARAYIL,Kaipamangalam,Bahujan Samaj Party,42,R-8,,,,,,,
THANKAMANY THARAYIL,Kaipamangalam,Bahujan Samaj Party,47,R-9,,,,,,,
THANKAMANY THARAYIL,Kaipamangalam,Bahujan Samaj Party,44,R-10,,,,,,,
THANKAMANY THARAYIL,Kaipamangalam,Bahujan Samaj Party,37,R-11,,,,,,,
THANKAMANY THARAYIL,Kaipamangalam,Bahujan Samaj Party,36,R-12,,,,,,,
THANKAMANY THARAYIL,Kaipamangalam,Bahujan Samaj Party,23,R-13,,,,,,,
SOBHA SUBIN,Kaipamangalam,Indian National Congress,4421,R-1,,,,,,,
SOBHA SUBIN,Kaipamangalam,Indian National Congress,4028,R-2,,,,,,,
SOBHA SUBIN,Kaipamangalam,Indian National Congress,4698,R-3,,,,,,,
SOBHA SUBIN,Kaipamangalam,Indian National Congress,4840,R-4,,,,,,,
SOBHA SUBIN,Kaipamangalam,Indian National Congress,3414,R-5,,,,,,,
SOBHA SUBIN,Kaipamangalam,Indian National Congress,3506,R-6,,,,,,,
SOBHA SUBIN,Kaipamangalam,Indian National Congress,3722,R-7,,,,,,,
SOBHA SUBIN,Kaipamangalam,Indian National Congress,3557,R-8,,,,,,,
SOBHA SUBIN,Kaipamangalam,Indian National Congress,3493,R-9,,,,,,,
SOBHA SUBIN,Kaipamangalam,Indian National Congress,4147,R-10,,,,,,,
SOBHA SUBIN,Kaipamangalam,Indian National Congress,3465,R-11,,,,,,,
SOBHA SUBIN,Kaipamangalam,Indian National Congress,4356,R-12,,,,,,,
SOBHA SUBIN,Kaipamangalam,Indian National Congress,1858,R-13,,,,,,,
M K ASLAM,Kaipamangalam,Welfare Party Of India,27,R-1,,,,,,,
M K ASLAM,Kaipamangalam,Welfare Party Of India,117,R-2,,,,,,,
M K ASLAM,Kaipamangalam,Welfare Party Of India,97,R-3,,,,,,,
M K ASLAM,Kaipamangalam,Welfare Party Of India,45,R-4,,,,,,,
M K ASLAM,Kaipamangalam,Welfare Party Of India,38,R-5,,,,,,,
M K ASLAM,Kaipamangalam,Welfare Party Of India,167,R-6,,,,,,,
M K ASLAM,Kaipamangalam,Welfare Party Of India,94,R-7,,,,,,,
M K ASLAM,Kaipamangalam,Welfare Party Of India,108,R-8,,,,,,,
M K ASLAM,Kaipamangalam,Welfare Party Of India,166,R-9,,,,,,,
M K ASLAM,Kaipamangalam,Welfare Party Of India,218,R-10,,,,,,,
M K ASLAM,Kaipamangalam,Welfare Party Of India,263,R-11,,,,,,,
M K ASLAM,Kaipamangalam,Welfare Party Of India,227,R-12,,,,,,,
M K ASLAM,Kaipamangalam,Welfare Party Of India,63,R-13,,,,,,,
C D SREELAL,Kaipamangalam,Bharath Dharma Jana Sena,591,R-1,,,,,,,
C D SREELAL,Kaipamangalam,Bharath Dharma Jana Sena,783,R-2,,,,,,,
C D SREELAL,Kaipamangalam,Bharath Dharma Jana Sena,768,R-3,,,,,,,
C D SREELAL,Kaipamangalam,Bharath Dharma Jana Sena,515,R-4,,,,,,,
C D SREELAL,Kaipamangalam,Bharath Dharma Jana Sena,959,R-5,,,,,,,
C D SREELAL,Kaipamangalam,Bharath Dharma Jana Sena,691,R-6,,,,,,,
C D SREELAL,Kaipamangalam,Bharath Dharma Jana Sena,662,R-7,,,,,,,
C D SREELAL,Kaipamangalam,Bharath Dharma Jana Sena,542,R-8,,,,,,,
C D SREELAL,Kaipamangalam,Bharath Dharma Jana Sena,1112,R-9,,,,,,,
C D SREELAL,Kaipamangalam,Bharath Dharma Jana Sena,1190,R-10,,,,,,,
C D SREELAL,Kaipamangalam,Bharath Dharma Jana Sena,445,R-11,,,,,,,
C D SREELAL,Kaipamangalam,Bharath Dharma Jana Sena,476,R-12,,,,,,,
C D SREELAL,Kaipamangalam,Bharath Dharma Jana Sena,179,R-13,,,,,,,
M K SHAMEER,Kaipamangalam,SOCIAL DEMOCRATIC PARTY OF INDIA,64,R-1,,,,,,,
M K SHAMEER,Kaipamangalam,SOCIAL DEMOCRATIC PARTY OF INDIA,59,R-2,,,,,,,
M K SHAMEER,Kaipamangalam,SOCIAL DEMOCRATIC PARTY OF INDIA,52,R-3,,,,,,,
M K SHAMEER,Kaipamangalam,SOCIAL DEMOCRATIC PARTY OF INDIA,40,R-4,,,,,,,
M K SHAMEER,Kaipamangalam,SOCIAL DEMOCRATIC PARTY OF INDIA,50,R-5,,,,,,,
M K SHAMEER,Kaipamangalam,SOCIAL DEMOCRATIC PARTY OF INDIA,98,R-6,,,,,,,
M K SHAMEER,Kaipamangalam,SOCIAL DEMOCRATIC PARTY OF INDIA,45,R-7,,,,,,,
M K SHAMEER,Kaipamangalam,SOCIAL DEMOCRATIC PARTY OF INDIA,38,R-8,,,,,,,
M K SHAMEER,Kaipamangalam,SOCIAL DEMOCRATIC PARTY OF INDIA,95,R-9,,,,,,,
M K SHAMEER,Kaipamangalam,SOCIAL DEMOCRATIC PARTY OF INDIA,40,R-10,,,,,,,
M K SHAMEER,Kaipamangalam,SOCIAL DEMOCRATIC PARTY OF INDIA,77,R-11,,,,,,,
M K SHAMEER,Kaipamangalam,SOCIAL DEMOCRATIC PARTY OF INDIA,100,R-12,,,,,,,
M K SHAMEER,Kaipamangalam,SOCIAL DEMOCRATIC PARTY OF INDIA,50,R-13,,,,,,,
NOTA,Kaipamangalam,None of the Above,34,R-1,,,,,,,
NOTA,Kaipamangalam,None of the Above,30,R-2,,,,,,,
NOTA,Kaipamangalam,None of the Above,34,R-3,,,,,,,
NOTA,Kaipamangalam,None of the Above,33,R-4,,,,,,,
NOTA,Kaipamangalam,None of the Above,40,R-5,,,,,,,
NOTA,Kaipamangalam,None of the Above,22,R-6,,,,,,,
NOTA,Kaipamangalam,None of the Above,54,R-7,,,,,,,
NOTA,Kaipamangalam,None of the Above,43,R-8,,,,,,,
NOTA,Kaipamangalam,None of the Above,42,R-9,,,,,,,
NOTA,Kaipamangalam,None of the Above,35,R-10,,,,,,,
NOTA,Kaipamangalam,None of the Above,32,R-11,,,,,,,
NOTA,Kaipamangalam,None of the Above,41,R-12,,,,,,,
NOTA,Kaipamangalam,None of the Above,17,R-13,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,1918,R-1,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,2968,R-2,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,2795,R-3,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,2809,R-4,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,2823,R-5,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,2020,R-6,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,2727,R-7,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,1438,R-8,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,3222,R-9,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,2639,R-10,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,2274,R-11,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,1970,R-12,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,1417,R-13,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,2342,R-14,,,,,,,
Jacob Thomas,Irinjalakkuda,Bharatiya Janata Party,323,R-15,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),4193,R-1,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),5590,R-2,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),4289,R-3,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),4505,R-4,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),4623,R-5,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),4786,R-6,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),2864,R-7,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),2576,R-8,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),5231,R-9,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),4205,R-10,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),3868,R-11,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),4124,R-12,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),4035,R-13,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),4621,R-14,,,,,,,
R Bindu,Irinjalakkuda,Communist Party of India (Marxist),1333,R-15,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,3681,R-1,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,3218,R-2,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,3452,R-3,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,3848,R-4,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,3198,R-5,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,4107,R-6,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,3806,R-7,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,5329,R-8,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,2722,R-9,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,3613,R-10,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,3714,R-11,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,4489,R-12,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,4222,R-13,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,4595,R-14,,,,,,,
Thomas J Unniyadan,Irinjalakkuda,Kerala Congress,857,R-15,,,,,,,
Joshy,Irinjalakkuda,Independent,33,R-1,,,,,,,
Joshy,Irinjalakkuda,Independent,20,R-2,,,,,,,
Joshy,Irinjalakkuda,Independent,18,R-3,,,,,,,
Joshy,Irinjalakkuda,Independent,12,R-4,,,,,,,
Joshy,Irinjalakkuda,Independent,18,R-5,,,,,,,
Joshy,Irinjalakkuda,Independent,18,R-6,,,,,,,
Joshy,Irinjalakkuda,Independent,22,R-7,,,,,,,
Joshy,Irinjalakkuda,Independent,15,R-8,,,,,,,
Joshy,Irinjalakkuda,Independent,13,R-9,,,,,,,
Joshy,Irinjalakkuda,Independent,22,R-10,,,,,,,
Joshy,Irinjalakkuda,Independent,19,R-11,,,,,,,
Joshy,Irinjalakkuda,Independent,29,R-12,,,,,,,
Joshy,Irinjalakkuda,Independent,15,R-13,,,,,,,
Joshy,Irinjalakkuda,Independent,32,R-14,,,,,,,
Joshy,Irinjalakkuda,Independent,6,R-15,,,,,,,
Bindu,Irinjalakkuda,Independent,15,R-1,,,,,,,
Bindu,Irinjalakkuda,Independent,19,R-2,,,,,,,
Bindu,Irinjalakkuda,Independent,17,R-3,,,,,,,
Bindu,Irinjalakkuda,Independent,14,R-4,,,,,,,
Bindu,Irinjalakkuda,Independent,13,R-5,,,,,,,
Bindu,Irinjalakkuda,Independent,14,R-6,,,,,,,
Bindu,Irinjalakkuda,Independent,16,R-7,,,,,,,
Bindu,Irinjalakkuda,Independent,6,R-8,,,,,,,
Bindu,Irinjalakkuda,Independent,18,R-9,,,,,,,
Bindu,Irinjalakkuda,Independent,13,R-10,,,,,,,
Bindu,Irinjalakkuda,Independent,11,R-11,,,,,,,
Bindu,Irinjalakkuda,Independent,12,R-12,,,,,,,
Bindu,Irinjalakkuda,Independent,15,R-13,,,,,,,
Bindu,Irinjalakkuda,Independent,17,R-14,,,,,,,
Bindu,Irinjalakkuda,Independent,6,R-15,,,,,,,
