O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes,Constituency,Distirct,Alliance,,,
4,Adv. Sunil Laloor,Indian National Congress,43379,1120,44499,28.98,Nattika,Thrissur,UDF,,,
5,C S Jitheshkumar,Independent,604,13,617,0.4,Nattika,Thrissur,OTH,,,
6,Sivarathnan Alathi,Independent,585,10,595,0.39,Nattika,Thrissur,OTH,,,
7,Nota,None of the Above,815,15,830,0.54,Nattika,Thrissur,OTH,,,
1,E T Taison Master,Communist Party of India,71666,1495,73161,53.76,Kaipamangalam,Thrissur,LDF,,,
2,Thankamany Tharayil,Bahujan Samaj Party,434,8,442,0.32,Kaipamangalam,Thrissur,OTH,,,
3,Sobha Subin,Indian National Congress,49505,958,50463,37.08,Kaipamangalam,Thrissur,UDF,,,
4,M K Aslam,Welfare Party Of India,1630,41,1671,1.23,Kaipamangalam,Thrissur,OTH,,,
5,C D Sreelal,Bharath Dharma Jana Sena,8913,153,9066,6.66,Kaipamangalam,Thrissur,NDA,,,
6,M K Shameer,SOCIAL DEMOCRATIC PARTY OF INDIA,808,6,814,0.6,Kaipamangalam,Thrissur,OTH,,,
7,Nota,None of the Above,457,9,466,0.34,Kaipamangalam,Thrissur,OTH,,,
1,Jacob Thomas,Bharatiya Janata Party,33685,644,34329,22.12,Irinjalakuda,Thrissur,NDA,,,
2,R Bindu,Communist Party of India (Marxist),60843,1650,62493,40.27,Irinjalakuda,Thrissur,LDF,,,
3,Thomas J Unniyadan,Kerala Congress,54851,1693,56544,36.44,Irinjalakuda,Thrissur,UDF,,,
4,Joshy,Independent,292,13,305,0.2,Irinjalakuda,Thrissur,OTH,,,
5,Bindu,Independent,206,14,220,0.14,Irinjalakuda,Thrissur,OTH,,,
6,Bindu,Independent,141,21,162,0.1,Irinjalakuda,Thrissur,OTH,,,
7,Vaxerin,Independent,503,33,536,0.35,Irinjalakuda,Thrissur,OTH,,,
8,Nota,None of the Above,583,7,590,0.38,Irinjalakuda,Thrissur,OTH,,,
1,A. Nagesh (Parameswaran.A),Bharatiya Janata Party,34200,693,34893,22.33,Puthukkad,Thrissur,NDA,,,
2,P.C. Pushpakaran,Bahujan Samaj Party,440,15,455,0.29,Puthukkad,Thrissur,OTH,,,
3,K.K. Ramachandran,Communist Party of India (Marxist),71250,2115,73365,46.94,Puthukkad,Thrissur,LDF,,,
4,Sunil Anthikkad (Sunilkumar. P.V),Indian National Congress,44530,1482,46012,29.44,Puthukkad,Thrissur,UDF,,,
5,Rajesh Appatt,Communist Party of India (Marxist-Leninist) Red Star,475,14,489,0.31,Puthukkad,Thrissur,OTH,,,
6,Nota,None of the Above,1053,16,1069,0.68,Puthukkad,Thrissur,OTH,,,
1,M S Asokan,Bahujan Samaj Party,597,20,617,0.43,Chalakudy,Thrissur,OTH,,,
2,Dennies K Antony,Kerala Congress (M),59516,1315,60831,42.49,Chalakudy,Thrissur,LDF,,,
3,Saneeshkumar Joseph,Indian National Congress,60452,1436,61888,43.23,Chalakudy,Thrissur,UDF,,,
4,Unnikrishnan K.A,Bharath Dharma Jana Sena,17014,287,17301,12.09,Chalakudy,Thrissur,NDA,,,
5,Dharmajan P K,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),244,9,253,0.18,Chalakudy,Thrissur,OTH,,,
6,Cheriya,Independent,137,6,143,0.1,Chalakudy,Thrissur,OTH,,,
7,Joshy Vattoly,Independent,143,17,160,0.11,Chalakudy,Thrissur,OTH,,,
8,T N Rajan,Independent,692,21,713,0.5,Chalakudy,Thrissur,OTH,,,
9,Rosilin,Independent,234,14,248,0.17,Chalakudy,Thrissur,OTH,,,
10,Nota,None of the Above,983,17,1000,0.7,Chalakudy,Thrissur,OTH,,,
1,M. P. Jackson,Indian National Congress,46017,1547,47564,31.94,Kodungallur,Thrissur,UDF,,,
2,Remya Mohanan,Bahujan Samaj Party,342,24,366,0.25,Kodungallur,Thrissur,OTH,,,
3,Santhosh Cherakkulam,Bharatiya Janata Party,27600,604,28204,18.94,Kodungallur,Thrissur,NDA,,,
4,Adv. V. R. Sunilkumar,Communist Party of India,69447,2010,71457,47.99,Kodungallur,Thrissur,LDF,,,
5,O. M. Sreeja,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),262,8,270,0.18,Kodungallur,Thrissur,OTH,,,
6,Rajan Painat,Independent,162,9,171,0.11,Kodungallur,Thrissur,OTH,,,
7,Nota,None of the Above,865,5,870,0.58,Kodungallur,Thrissur,OTH,,,
1,Adv Eldose P Kunnapillil,Indian National Congress,52055,1429,53484,37.1,Perumbavoor,Ernakulam,UDF,,,
2,Babu Joseph Perumbavoor,Kerala Congress (M),49438,1147,50585,35.09,Perumbavoor,Ernakulam,LDF,,,
3,Adv.T P Sindhumol,Bharatiya Janata Party,14813,322,15135,10.5,Perumbavoor,Ernakulam,NDA,,,
4,Ajmal K Mujeeb,SOCIAL DEMOCRATIC PARTY OF INDIA,2483,11,2494,1.73,Perumbavoor,Ernakulam,OTH,,,
5,Arshad K M,Welfare Party Of India,1029,9,1038,0.72,Perumbavoor,Ernakulam,OTH,,,
6,Chithra Sukumaran,Twenty 20 Party,20153,383,20536,14.24,Perumbavoor,Ernakulam,OTH,,,
7,Babu Joseph Erumala,Independent,188,8,196,0.14,Perumbavoor,Ernakulam,OTH,,,
8,Nota,None of the Above,686,17,703,0.49,Perumbavoor,Ernakulam,OTH,,,
1,Adv. Jose Thettayil,Janata Dal (Secular),54620,1013,55633,40.31,Angamaly,Ernakulam,LDF,,,
2,Adv. K V Sabu,Bharatiya Janata Party,8547,130,8677,6.29,Angamaly,Ernakulam,NDA,,,
3,Stalin Nikathithara,Bahujan Samaj Party,322,4,326,0.24,Angamaly,Ernakulam,OTH,,,
4,Roji M John,Indian National Congress,70163,1399,71562,51.86,Angamaly,Ernakulam,UDF,,,
5,Jothilakshmi,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),292,9,301,0.22,Angamaly,Ernakulam,OTH,,,
6,Martin Paul,Independent,621,2,623,0.45,Angamaly,Ernakulam,OTH,,,
7,Velayudhan,Independent,200,6,206,0.15,Angamaly,Ernakulam,OTH,,,
8,Nota,None of the Above,647,22,669,0.48,Angamaly,Ernakulam,OTH,,,
1,Anwar Sadath,Indian National Congress,72500,1203,73703,49,Aluva,Ernakulam,UDF,,,
2,M.N. Gopi,Bharatiya Janata Party,15660,233,15893,10.57,Aluva,Ernakulam,NDA,,,
3,A.G. Ajayan,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),224,4,228,0.15,Aluva,Ernakulam,OTH,,,
4,Viswakala Thankappan,Marxist Communist Party of India (United),340,2,342,0.23,Aluva,Ernakulam,OTH,,,
5,K.M. Shefrin,Welfare Party Of India,1681,32,1713,1.14,Aluva,Ernakulam,OTH,,,
6,V.A Rasheed,SOCIAL DEMOCRATIC PARTY OF INDIA,2194,30,2224,1.48,Aluva,Ernakulam,OTH,,,
7,Ar Shelna Nishad,Independent,54042,775,54817,36.44,Aluva,Ernakulam,OTH,,,
8,K.V. Sarala,Independent,558,11,569,0.38,Aluva,Ernakulam,OTH,,,
9,Nota,None of the Above,931,8,939,0.62,Aluva,Ernakulam,OTH,,,
1,Adv. V. E. Abdul Gafoor,Indian Union Muslim League,60829,976,61805,39.65,Kalamassery,Ernakulam,UDF,,,
2,P. S. Unnikrishnan,Bahujan Samaj Party,840,17,857,0.55,Kalamassery,Ernakulam,OTH,,,
3,P. Rajeeve,Communist Party of India (Marxist),75757,1384,77141,49.49,Kalamassery,Ernakulam,LDF,,,
4,P. S. Jayaraj,Bharath Dharma Jana Sena,11021,158,11179,7.17,Kalamassery,Ernakulam,NDA,,,
5,V. M. Faisal,SOCIAL DEMOCRATIC PARTY OF INDIA,2372,13,2385,1.53,Kalamassery,Ernakulam,OTH,,,
6,Nayana Unnikrishnan,Independent,443,9,452,0.29,Kalamassery,Ernakulam,OTH,,,
7,P. M. K. Bava,Independent,514,12,526,0.34,Kalamassery,Ernakulam,OTH,,,
8,Nota,None of the Above,1483,35,1518,0.97,Kalamassery,Ernakulam,OTH,,,
1,M.T. Nixon,Communist Party of India,59675,1288,60963,38.44,Paravur,Ernakulam,LDF,,,
2,N.K.Biju,Bahujan Samaj Party,708,16,724,0.46,Paravur,Ernakulam,OTH,,,
3,V.D. Satheesan,Indian National Congress,80463,1801,82264,51.87,Paravur,Ernakulam,UDF,,,
4,A.B. Jayaprakash,Bharath Dharma Jana Sena,12818,146,12964,8.17,Paravur,Ernakulam,NDA,,,
5,Prasanth,Independent,276,3,279,0.18,Paravur,Ernakulam,OTH,,,
6,Sathyanesan Ezhikkara,Independent,283,4,287,0.18,Paravur,Ernakulam,OTH,,,
7,Nota,None of the Above,1093,20,1113,0.7,Paravur,Ernakulam,OTH,,,
1,K.N. Unnikrishnan,Communist Party of India (Marxist),52712,1146,53858,41.24,Vypen,Ernakulam,LDF,,,
2,Deepak Joy,Indian National Congress,44710,947,45657,34.96,Vypen,Ernakulam,UDF,,,
3,Adv.K.S. Shaiju,Bharatiya Janata Party,13385,155,13540,10.37,Vypen,Ernakulam,NDA,,,
4,Dr.Job Chakalakal,Twenty 20 Party,16540,167,16707,12.79,Vypen,Ernakulam,OTH,,,
5,Dr.M.K. Mukundan,Independent,304,5,309,0.24,Vypen,Ernakulam,OTH,,,
6,Nota,None of the Above,518,7,525,0.4,Vypen,Ernakulam,OTH,,,
1,Tony Chammany,Indian National Congress,39865,688,40553,31.51,Kochi,Ernakulam,UDF,,,
2,K.J. Maxy,Communist Party of India (Marxist),53973,659,54632,42.45,Kochi,Ernakulam,LDF,,,
3,C.G.Rajagopal,Bharatiya Janata Party,10800,191,10991,8.54,Kochi,Ernakulam,NDA,,,
4,Shiny Antony,Twenty 20 Party,19550,126,19676,15.29,Kochi,Ernakulam,OTH,,,
5,Nipun Cherian,Independent,2123,26,2149,1.67,Kochi,Ernakulam,OTH,,,
6,Rajaneesh Babu,Independent,224,4,228,0.18,Kochi,Ernakulam,OTH,,,
7,Nota,None of the Above,464,10,474,0.37,Kochi,Ernakulam,OTH,,,
1,K. Babu,Indian National Congress,65355,520,65875,42.14,Thrippunithura,Ernakulam,UDF,,,
2,Dr. K. S. Radhakrishnan,Bharatiya Janata Party,23578,178,23756,15.2,Thrippunithura,Ernakulam,NDA,,,
3,Adv. M. Swaraj,Communist Party of India (Marxist),64325,558,64883,41.51,Thrippunithura,Ernakulam,LDF,,,
4,Arun Babu. P. C.,Shiv Sena,231,1,232,0.15,Thrippunithura,Ernakulam,OTH,,,
5,C. B. Ashokan,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),172,1,173,0.11,Thrippunithura,Ernakulam,OTH,,,
6,K. P. Ayappen,Independent,88,0,88,0.06,Thrippunithura,Ernakulam,OTH,,,
7,Rajesh Pairoad,Independent,200,1,201,0.13,Thrippunithura,Ernakulam,OTH,,,
8,Nota,None of the Above,1089,10,1099,0.7,Thrippunithura,Ernakulam,OTH,,,
1,Padmaja S. Menon,Bharatiya Janata Party,15813,230,16043,14.57,Ernakulam,Ernakulam,NDA,,,
2,T. J. Vinod,Indian National Congress,45066,864,45930,41.72,Ernakulam,Ernakulam,UDF,,,
3,Prof. Leslie Pallath,Twenty 20 Party,10550,84,10634,9.66,Ernakulam,Ernakulam,OTH,,,
4,K. S. Anilkumar,Independent,215,10,225,0.2,Ernakulam,Ernakulam,OTH,,,
5,Ashokan,Independent,173,3,176,0.16,Ernakulam,Ernakulam,OTH,,,
6,Shaji George Pranatha,Independent,34528,432,34960,31.75,Ernakulam,Ernakulam,LDF,,,
7,Shaji George Plakkil,Independent,290,15,305,0.28,Ernakulam,Ernakulam,OTH,,,
8,Siciliamma Teacher,Independent,70,1,71,0.06,Ernakulam,Ernakulam,OTH,,,
9,Sujith C. Sukumaran,Independent,1024,18,1042,0.95,Ernakulam,Ernakulam,OTH,,,
10,Nota,None of the Above,705,7,712,0.65,Ernakulam,Ernakulam,OTH,,,
1,Adv.P.T.Thomas,Indian National Congress,58707,1132,59839,43.82,Thrikkakara,Ernakulam,UDF,,,
2,P.M.Shibu,Bahujan Samaj Party,322,9,331,0.24,Thrikkakara,Ernakulam,OTH,,,
3,S Saji,Bharatiya Janata Party,15218,265,15483,11.34,Thrikkakara,Ernakulam,NDA,,,
4,Krishnaprasad,Democratic Social Justice Party,174,7,181,0.13,Thrikkakara,Ernakulam,NDA,,,
5,Dr.Terry Thomas,Twenty 20 Party,13773,124,13897,10.18,Thrikkakara,Ernakulam,OTH,,,
6,Jinu,Independent,143,0,143,0.1,Thrikkakara,Ernakulam,OTH,,,
7,Dr.J.Jacob,Independent,44894,616,45510,33.32,Thrikkakara,Ernakulam,LDF,,,
8,Binoj,Independent,130,4,134,0.1,Thrikkakara,Ernakulam,OTH,,,
9,Subin,Independent,55,4,59,0.04,Thrikkakara,Ernakulam,OTH,,,
10,Riyas Yusuf,Independent,294,4,298,0.22,Thrikkakara,Ernakulam,OTH,,,
11,Nota,None of the Above,688,7,695,0.51,Thrikkakara,Ernakulam,OTH,,,
1,Manikuttan.A.T,Bahujan Samaj Party,197,8,205,0.13,Kunnathunad,Ernakulam,OTH,,,
2,Renu Suresh,Bharatiya Janata Party,7056,162,7218,4.66,Kunnathunad,Ernakulam,NDA,,,
3,Adv. P.V.Sreenijin,Communist Party of India (Marxist),51180,1171,52351,33.79,Kunnathunad,Ernakulam,LDF,,,
4,V.P.Sajeendran,Indian National Congress,48463,1173,49636,32.04,Kunnathunad,Ernakulam,UDF,,,
5,Krishnan Eranhikal,SOCIAL DEMOCRATIC PARTY OF INDIA,1289,5,1294,0.84,Kunnathunad,Ernakulam,OTH,,,
6,Dr. Sujith.P.Surendran,Twenty 20 Party,41890,811,42701,27.56,Kunnathunad,Ernakulam,OTH,,,
7,Velayudhan.V.K,Independent,165,3,168,0.11,Kunnathunad,Ernakulam,OTH,,,
8,Sujith.K.Surendran,Independent,761,25,786,0.51,Kunnathunad,Ernakulam,OTH,,,
9,Nota,None of the Above,539,26,565,0.36,Kunnathunad,Ernakulam,OTH,,,
1,M Ashish,Bharatiya Janata Party,10782,239,11021,6.97,Piravom,Ernakulam,NDA,,,
2,Dr. Sindhumol Jacob,Kerala Congress (M),58041,1651,59692,37.76,Piravom,Ernakulam,LDF,,,
3,Anoop Jacob,Kerala Congress (Jacob),82436,2620,85056,53.8,Piravom,Ernakulam,UDF,,,
4,C N Mukundan,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),440,14,454,0.29,Piravom,Ernakulam,OTH,,,
5,Renju P B,Independent,200,2,202,0.13,Piravom,Ernakulam,OTH,,,
6,Sindhumol C,Independent,551,12,563,0.36,Piravom,Ernakulam,OTH,,,
7,Nota,None of the Above,1085,24,1109,0.7,Piravom,Ernakulam,OTH,,,
1,Eldho Abraham,Communist Party of India,56949,1315,58264,40.36,Muvattupuzha,Ernakulam,LDF,,,
2,Jiji Joseph,Bharatiya Janata Party,7335,192,7527,5.21,Muvattupuzha,Ernakulam,NDA,,,
3,Dr. Mathew Kuzhalnadan,Indian National Congress,62417,2008,64425,44.63,Muvattupuzha,Ernakulam,UDF,,,
4,C. K. Thampi,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),170,6,176,0.12,Muvattupuzha,Ernakulam,OTH,,,
5,Adv. C.N. Prakash,Twenty 20 Party,13308,227,13535,9.38,Muvattupuzha,Ernakulam,OTH,,,
6,Nota,None of the Above,421,6,427,0.3,Muvattupuzha,Ernakulam,OTH,,,
1,Antony John,Communist Party of India (Marxist),62425,1809,64234,46.99,Kothamangalam,Ernakulam,LDF,,,
2,Dr. Joe Joseph,Twenty 20 Party,7795,183,7978,5.84,Kothamangalam,Ernakulam,OTH,,,
3,T.M. Moosa,SOCIAL DEMOCRATIC PARTY OF INDIA,1273,13,1286,0.94,Kothamangalam,Ernakulam,OTH,,,
4,Shibu Thekkumpuram,Kerala Congress,55868,1761,57629,42.16,Kothamangalam,Ernakulam,UDF,,,
5,Shine K Krishnan,Bharath Dharma Jana Sena,4532,106,4638,3.39,Kothamangalam,Ernakulam,NDA,,,
6,Anto Johny,Independent,121,15,136,0.1,Kothamangalam,Ernakulam,OTH,,,
7,Shibu,Independent,101,5,106,0.08,Kothamangalam,Ernakulam,OTH,,,
8,Shibu Thekkan,Independent,261,15,276,0.2,Kothamangalam,Ernakulam,OTH,,,
9,Nota,None of the Above,372,42,414,0.3,Kothamangalam,Ernakulam,OTH,,,
1,D. Kumar,Indian National Congress,50421,780,51201,44.22,Devikulam,Idukki,UDF,,,
2,Adv. A. Raja,Communist Party of India (Marxist),58183,866,59049,51,Devikulam,Idukki,LDF,,,
3,Ganesan. S,Independent,4675,42,4717,4.07,Devikulam,Idukki,OTH,,,
4,Nota,None of the Above,804,3,807,0.7,Devikulam,Idukki,OTH,,,
1,Adv. E.M. Augusthy,Indian National Congress,38207,869,39076,31.21,Udumbanchola,Idukki,UDF,,,
2,A C Biju,Bahujan Samaj Party,858,9,867,0.69,Udumbanchola,Idukki,OTH,,,
3,M. M. Mani,Communist Party of India (Marxist),75938,1443,77381,61.8,Udumbanchola,Idukki,LDF,,,
4,Santhosh Madhavan,Bharath Dharma Jana Sena,7121,87,7208,5.76,Udumbanchola,Idukki,NDA,,,
5,Nota,None of the Above,679,8,687,0.55,Udumbanchola,Idukki,OTH,,,
1,Prof. K I Antony,Kerala Congress (M),45762,1474,47236,34.03,Thodupuzha,Idukki,LDF,,,
2,Leethesh P T,Bahujan Samaj Party,928,6,934,0.67,Thodupuzha,Idukki,OTH,,,
3,Shyamraj P,Bharatiya Janata Party,20758,505,21263,15.32,Thodupuzha,Idukki,NDA,,,
4,P J Joseph,Kerala Congress,64895,2600,67495,48.63,Thodupuzha,Idukki,UDF,,,
5,T R Sreedharan,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),263,10,273,0.2,Thodupuzha,Idukki,OTH,,,
6,M T Thomas,Independent,556,6,562,0.4,Thodupuzha,Idukki,OTH,,,
7,Parthasaradhi K,Independent,365,5,370,0.27,Thodupuzha,Idukki,OTH,,,
8,Nota,None of the Above,640,34,674,0.49,Thodupuzha,Idukki,OTH,,,
1,Babu Varghese Vattoli,Bahujan Samaj Party,1096,10,1106,0.84,Idukki,Idukki,OTH,,,
2,Roshy Augustine,Kerala Congress (M),61033,1335,62368,47.48,Idukki,Idukki,LDF,,,
3,Adv. K Francis George,Kerala Congress,55439,1356,56795,43.24,Idukki,Idukki,UDF,,,
4,Adv. Sangeetha Viswanathan,Bharath Dharma Jana Sena,9148,138,9286,7.07,Idukki,Idukki,NDA,,,
5,Bijeesh Thomas,Independent,604,6,610,0.46,Idukki,Idukki,OTH,,,
6,Vincent Jacob,Independent,336,4,340,0.26,Idukki,Idukki,OTH,,,
7,Sajeev,Independent,164,5,169,0.13,Idukki,Idukki,OTH,,,
8,Nota,None of the Above,661,16,677,0.52,Idukki,Idukki,OTH,,,
1,Biju Mattappally,Bahujan Samaj Party,812,6,818,0.64,Peerumade,Idukki,OTH,,,
2,Vazhoor Soman,Communist Party of India,59518,623,60141,47.25,Peerumade,Idukki,LDF,,,
3,Sreenagari Rajan,Bharatiya Janata Party,7085,41,7126,5.6,Peerumade,Idukki,NDA,,,
4,Adv.Syriac Thomas,Indian National Congress,57601,705,58306,45.81,Peerumade,Idukki,UDF,,,
5,P.K Gopalakrishnan,Independent,249,2,251,0.2,Peerumade,Idukki,OTH,,,
6,Soman,Independent,247,1,248,0.19,Peerumade,Idukki,OTH,,,
7,Nota,None of the Above,400,1,401,0.32,Peerumade,Idukki,OTH,,,
1,Joy Thomas Vazhamattom,Bahujan Samaj Party,355,13,368,0.27,Pala,Kottayam,OTH,,,
2,Jose K. Mani,Kerala Congress (M),52697,1729,54426,39.32,Pala,Kottayam,LDF,,,
3,Prameeladevi .J,Bharatiya Janata Party,10533,336,10869,7.85,Pala,Kottayam,NDA,,,
4,Albin Mathew,Independent,118,3,121,0.09,Pala,Kottayam,OTH,,,
5,C. V. John,Independent,243,6,249,0.18,Pala,Kottayam,OTH,,,
6,Thomas J. Nidiry,Independent,158,2,160,0.12,Pala,Kottayam,OTH,,,
7,Mani C Kappen,Independent,67638,2166,69804,50.43,Pala,Kottayam,UDF,,,
8,Mani C. Kuriakose,Independent,1065,33,1098,0.79,Pala,Kottayam,OTH,,,
9,Sreejith V S,Independent,191,4,195,0.14,Pala,Kottayam,OTH,,,
10,Santhosh Pulickal,Independent,439,5,444,0.32,Pala,Kottayam,OTH,,,
11,Sunil Alancheril,Independent,88,5,93,0.07,Pala,Kottayam,OTH,,,
12,Nota,None of the Above,597,7,604,0.44,Pala,Kottayam,OTH,,,
1,Adv. Anju Mathew,Bahujan Samaj Party,1188,19,1207,0.92,Kaduthuruthy,Kottayam,OTH,,,
2,Ligin Lal,Bharatiya Janata Party,11419,251,11670,8.88,Kaduthuruthy,Kottayam,NDA,,,
3,Stephen George,Kerala Congress (M),53819,1591,55410,42.17,Kaduthuruthy,Kottayam,LDF,,,
4,Adv. Jaimon Thankachan,Samajwadi Jan Parishad,287,15,302,0.23,Kaduthuruthy,Kottayam,OTH,,,
5,Adv. Mons Joseph,Kerala Congress,57856,1810,59666,45.4,Kaduthuruthy,Kottayam,UDF,,,
6,Vinod K Jose,Independent,2386,39,2425,1.85,Kaduthuruthy,Kottayam,OTH,,,
7,Nota,None of the Above,727,4,731,0.56,Kaduthuruthy,Kottayam,OTH,,,
1,Akhiljith Kallara,Bahujan Samaj Party,704,22,726,0.57,Vaikom,Kottayam,OTH,,,
2,C.K Asha,Communist Party of India,69483,1905,71388,55.96,Vaikom,Kottayam,LDF,,,
3,Dr.P.R Sona,Indian National Congress,41108,1158,42266,33.13,Vaikom,Kottayam,UDF,,,
4,Ajitha Sabu,Bharath Dharma Jana Sena,11708,245,11953,9.37,Vaikom,Kottayam,NDA,,,
5,Bindu,Bahujan Dravida Party,251,7,258,0.2,Vaikom,Kottayam,OTH,,,
6,T.K Sabu,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),140,12,152,0.12,Vaikom,Kottayam,OTH,,,
7,Kuttan Kattachira,Independent,150,13,163,0.13,Vaikom,Kottayam,OTH,,,
8,Nota,None of the Above,657,13,670,0.53,Vaikom,Kottayam,OTH,,,
1,Jijith K Joy,Bahujan Samaj Party,1135,30,1165,0.92,Ettumanoor,Kottayam,OTH,,,
2,V N Vasavan,Communist Party of India (Marxist),56632,1657,58289,46.2,Ettumanoor,Kottayam,LDF,,,
3,T N Harikumar,Bharatiya Janata Party,13401,345,13746,10.9,Ettumanoor,Kottayam,NDA,,,
4,A G Ajayakumar,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),244,3,247,0.2,Ettumanoor,Kottayam,OTH,,,
5,Adv. Prince Lukose,Kerala Congress,42598,1388,43986,34.86,Ettumanoor,Kottayam,UDF,,,
6,Charley Thomas Panikkaridam,Independent,305,25,330,0.26,Ettumanoor,Kottayam,OTH,,,
7,Lathika Subhash,Independent,7410,214,7624,6.04,Ettumanoor,Kottayam,OTH,,,
8,Nota,None of the Above,768,12,780,0.62,Ettumanoor,Kottayam,OTH,,,
1,Adv.K.Anilkumar,Communist Party of India (Marxist),45974,684,46658,38.33,Kottayam,Kottayam,LDF,,,
2,Thiruvanchoor Radhakrishnan,Indian National Congress,64309,1092,65401,53.72,Kottayam,Kottayam,UDF,,,
3,Minerva Mohan,Bharatiya Janata Party,8501,110,8611,7.07,Kottayam,Kottayam,NDA,,,
4,Sreekumar Chakkala,Bahujan Samaj Party,372,2,374,0.31,Kottayam,Kottayam,OTH,,,
5,Arun Mangattu,Akhil Bharat Hindu Mahasabha,75,2,77,0.06,Kottayam,Kottayam,OTH,,,
6,M.K.Shahazad,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),138,6,144,0.12,Kottayam,Kottayam,OTH,,,
7,Nota,None of the Above,468,5,473,0.39,Kottayam,Kottayam,OTH,,,
1,Abhilash P P,Bahujan Samaj Party,751,12,763,0.58,Puthuppally,Kottayam,OTH,,,
2,Oommen Chandy,Indian National Congress,61606,1766,63372,48.08,Puthuppally,Kottayam,UDF,,,
3,Jaick C Thomas,Communist Party of India (Marxist),53379,949,54328,41.22,Puthuppally,Kottayam,LDF,,,
4,N Hari,Bharatiya Janata Party,11495,199,11694,8.87,Puthuppally,Kottayam,NDA,,,
5,M V Cherian,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),141,5,146,0.11,Puthuppally,Kottayam,OTH,,,
6,George Joseph Vathappally,Independent,988,9,997,0.76,Puthuppally,Kottayam,OTH,,,
7,Nota,None of the Above,483,14,497,0.38,Puthuppally,Kottayam,OTH,,,
1,Amruth Dev T,Bahujan Samaj Party,1048,31,1079,0.87,Changanassery,Kottayam,OTH,,,
2,Adv. Job Maichil,Kerala Congress (M),54244,1181,55425,44.85,Changanassery,Kottayam,LDF,,,
3,Adv G Raman Nair,Bharatiya Janata Party,14106,385,14491,11.73,Changanassery,Kottayam,NDA,,,
4,M. K. Nizamuddin,SOCIAL DEMOCRATIC PARTY OF INDIA,1065,10,1075,0.87,Changanassery,Kottayam,OTH,,,
5,Rejitha Jayaram,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),323,5,328,0.27,Changanassery,Kottayam,OTH,,,
6,V. J. Laly,Kerala Congress,47997,1369,49366,39.94,Changanassery,Kottayam,UDF,,,
7,Joemon Joseph Srampickal,Independent,138,19,157,0.13,Changanassery,Kottayam,OTH,,,
8,Tijo Karikkandam,Independent,1077,17,1094,0.89,Changanassery,Kottayam,OTH,,,
9,Babychen Mukkadan,Independent,134,2,136,0.11,Changanassery,Kottayam,OTH,,,
10,Nota,None of the Above,430,4,434,0.35,Changanassery,Kottayam,OTH,,,
1,Alphons Kannanthanam,Bharatiya Janata Party,28568,589,29157,21.17,Kanjirappally,Kottayam,NDA,,,
2,Ashik M M,Bahujan Samaj Party,720,7,727,0.53,Kanjirappally,Kottayam,OTH,,,
3,Dr.N.Jayaraj,Kerala Congress (M),59151,1148,60299,43.79,Kanjirappally,Kottayam,LDF,,,
4,Joseph Vazhackan,Indian National Congress,45296,1300,46596,33.84,Kanjirappally,Kottayam,UDF,,,
5,Mayamol K P,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),292,8,300,0.22,Kanjirappally,Kottayam,OTH,,,
6,Nota,None of the Above,622,2,624,0.45,Kanjirappally,Kottayam,OTH,,,
1,Ancy George,Bahujan Samaj Party,590,6,596,0.43,Poonjar,Kottayam,OTH,,,
2,Adv. Tomy Kallany,Indian National Congress,33694,939,34633,24.76,Poonjar,Kottayam,UDF,,,
3,Adv. Sebastian Kulathunkal,Kerala Congress (M),57630,1038,58668,41.94,Poonjar,Kottayam,LDF,,,
4,Abdu Samad,Kerala Janatha Party,253,6,259,0.19,Poonjar,Kottayam,OTH,,,
5,P.C.George Plathottam,"Kerala Janapaksham (Secular),",41049,802,41851,29.92,Poonjar,Kottayam,OTH,,,
6,M. P. Sen,Bharath Dharma Jana Sena,2928,37,2965,2.12,Poonjar,Kottayam,NDA,,,
7,Albin Mathew,Independent,201,4,205,0.15,Poonjar,Kottayam,OTH,,,
8,M. V. George,Independent,264,14,278,0.2,Poonjar,Kottayam,OTH,,,
9,Tomy Chemarapallil,Independent,91,3,94,0.07,Poonjar,Kottayam,OTH,,,
10,Nota,None of the Above,332,13,345,0.25,Poonjar,Kottayam,OTH,,,
1,Daleema,Communist Party of India (Marxist),73865,1752,75617,45.97,Aroor,Alappuzha,LDF,,,
2,Rugma Pradeep,Bahujan Samaj Party,665,17,682,0.41,Aroor,Alappuzha,OTH,,,
3,Adv. Shanimol Osman,Indian National Congress,67023,1581,68604,41.71,Aroor,Alappuzha,UDF,,,
